  MEAD                 NE   Lat.(deg)= 41.15  Long.(deg)= 96.48  Elev.(m)= 366.
      a255369      T-High    T-Low     Rel Hum   Soil Tmp  Wind Sp.  SolarRad  Precip    ET-NE   
     date/time     C         C         %         C@10cm    m/s       MJ/m**2   mm        mm      
  5  1 2015 2400   22.933    10.712    53.538    15.273     2.839     8.699     0.000     4.381 
  5  2 2015 2400   27.594    10.702    69.315    16.576     4.495    18.957    10.922     6.793 
  5  3 2015 2400   28.544    14.503    68.605    17.329     3.831    13.629    19.820     5.536 
  5  4 2015 2400   16.673    12.482    87.045    15.240     3.431     3.164     4.064     1.196 
  5  5 2015 2400   24.373    13.592    81.868    16.571     3.210    13.005     1.016     3.567 
  5  6 2015 2400   21.083    15.043    89.284    16.967     6.083     6.054    50.796     2.015 
  5  7 2015 2400   23.953    13.052    80.995    18.363     4.700    18.295    25.658     5.003 
  5  8 2015 2400   15.313    10.232    81.538    16.075     3.616     6.847     0.000     2.058 
  5  9 2015 2400   19.773     9.032    77.394    16.306     3.625    13.124     0.000     3.629 
  5 10 2015 2400   21.683     7.609    84.465    17.433     4.967     8.813     7.112     3.297 
  5 11 2015 2400   10.602     4.561    69.415    12.942     3.906     7.407     0.000     2.603 
  5 12 2015 2400   20.903     3.173    55.770    13.989     2.335    24.631     0.000     5.839 
  5 13 2015 2400   22.653     8.222    60.435    16.430     5.134    21.570     8.890     7.489 
  5 14 2015 2400   20.303    11.652    92.285    16.400     3.129     6.958    10.668     1.601 
  5 15 2015 2400   20.993    11.752    92.936    15.728     3.268     6.314     9.906     1.531 
  5 16 2015 2400   26.554    15.643    81.461    18.640     5.120    13.810     2.032     4.713 
  5 17 2015 2400   25.603    12.642    71.177    19.380     4.490    20.544     0.000     6.441 
  5 18 2015 2400   16.883     7.174    61.030    17.679     4.847    24.454     0.000     6.546 
  5 19 2015 2400   10.972     2.903    72.797    14.874     3.511    10.489     2.286     2.672 
  5 20 2015 2400   10.772     5.103    88.292    13.693     3.251     5.805     1.016     1.233 
  5 21 2015 2400   22.173     2.409    54.680    15.144     2.067    26.197     0.000     6.102 
  5 22 2015 2400   18.533     5.603    67.233    15.258     1.841     8.926     0.000     2.691 
  5 23 2015 2400   17.023    12.252    89.727    15.440     2.654     3.578     0.254     0.981 
  5 24 2015 2400   20.813    14.873    92.269    16.915     2.265     6.056     1.778     1.302 
  5 25 2015 2400   27.094    14.473    73.678    19.508     3.476    18.926     0.000     5.608 
  5 26 2015 2400   20.723    13.462    85.640    18.745     2.213     9.608     2.286     2.208 
  5 27 2015 2400   28.914     9.162    54.097    19.376     1.876    23.901     0.000     6.661 
  5 28 2015 2400   23.193    14.673    83.395    19.293     3.331    10.031     1.270     2.908 
  5 29 2015 2400   26.514    11.502    79.239    20.381     4.622    15.428     1.016     5.213 
  5 30 2015 2400   21.743     9.262    61.167    18.860     5.402    17.866     0.000     6.728 
  5 31 2015 2400   20.213     5.902    68.657    18.382     2.129    17.667     0.000     4.151 
  6  1 2015 2400   24.593    11.552    64.673    20.857     3.726    25.353     0.000     7.078 
  6  2 2015 2400   23.993    13.252    82.395    20.328     5.119    14.392     7.874     4.439 
  6  3 2015 2400   28.584    16.613    80.300    20.993     2.542    17.888     6.604     4.678 
  6  4 2015 2400   23.963    17.663    92.127    20.366     2.268     5.193     6.350     1.286 
  6  5 2015 2400   28.674    15.253    76.477    21.816     1.500    22.111     0.254     5.100 
  6  6 2015 2400   29.364    18.933    82.035    22.651     4.475    15.111     1.524     4.921 
  6  7 2015 2400   29.294    16.653    69.498    23.656     3.427    23.301     3.302     6.936 
  6  8 2015 2400   31.974    15.423    51.002    23.097     2.346    26.374     0.000     8.133 
  6  9 2015 2400   35.524    15.483    45.584    24.620     2.768    26.296     0.000     9.607 
  6 10 2015 2400   34.384    17.613    65.741    26.301     3.092    23.412    21.338     7.840 
  6 11 2015 2400   20.383    16.613    97.423    22.154     4.179     2.011    26.920     0.414 
  6 12 2015 2400   20.013    15.773    90.434    20.579     2.707     6.662     0.000     1.528 
  6 13 2015 2400   26.043    15.043    82.944    21.651     1.890    16.458     0.000     3.760 
  6 14 2015 2400   28.624    16.313    85.197    22.906     1.889    14.808    10.918     3.601 
  6 15 2015 2400   25.033    14.543    87.929    22.711     3.427    14.080    24.130     3.457 
